date,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Air temperature  (°C) ,Atmosphere (hpa),Power (MW)
2019-01-01 00:00:00,0.0,0.0,0.0,-9.62,872.81,0.269033
2019-01-01 01:00:00,0.0,0.0,0.0,-10.49,872.8,0.269967
2019-01-01 02:00:00,0.0,0.0,0.0,-10.54,873.01,0.269033
2019-01-01 03:00:00,0.0,0.0,0.0,-11.59,872.77,0.272767
2019-01-01 04:00:00,0.0,0.0,0.0,-11.83,872.65,0.277433
2019-01-01 05:00:00,0.0,0.0,0.0,-11.49,872.52,0.277667
2019-01-01 06:00:00,0.0,0.0,0.0,-12.12,872.02,0.2828
2019-01-01 07:00:00,0.0,0.0,0.0,-12.22,871.19,0.272533
2019-01-01 08:00:00,0.0,0.0,0.0,-12.98,870.61,0.267167
2019-01-01 09:00:00,0.0,0.0,0.0,-12.8,871.27,0.271367
2019-01-01 10:00:00,0.0,0.0,0.0,-12.91,871.94,0.6384
2019-01-01 11:00:00,86.91,62.7,58.2,-11.14,872.24,12.622633
2019-01-01 12:00:00,243.83,175.92,167.07,-7.12,871.08,51.812134
2019-01-01 13:00:00,398.64,287.62,281.22,-4.38,869.3,77.76627
2019-01-01 14:00:00,442.39,319.18,319.39,-3.25,867.92,87.0289
2019-01-01 15:00:00,451.74,325.93,326.2,-2.27,867.28,84.283264
2019-01-01 16:00:00,402.05,290.08,288.85,-1.09,866.1,74.03713
2019-01-01 17:00:00,313.27,226.03,217.19,-1.04,865.22,56.387096
2019-01-01 18:00:00,181.14,130.69,120.3,-1.35,864.36,18.657564
2019-01-01 19:00:00,26.5,19.12,15.05,-3.04,864.81,2.3086
2019-01-01 20:00:00,0.0,0.0,0.0,-5.13,865.5,0.266467
2019-01-01 21:00:00,0.0,0.0,0.0,-6.69,865.93,0.2751
2019-01-01 22:00:00,0.0,0.0,0.0,-6.98,866.25,0.262267
2019-01-01 23:00:00,0.0,0.0,0.0,-7.8,866.25,0.264133
2019-01-02 00:00:00,0.0,0.0,0.0,-8.56,866.46,0.266
2019-01-02 01:00:00,0.0,0.0,0.0,-9.33,866.49,0.271133
2019-01-02 02:00:00,0.0,0.0,0.0,-9.76,866.51,0.275567
2019-01-02 03:00:00,0.0,0.0,0.0,-9.28,866.45,0.276033
2019-01-02 04:00:00,0.0,0.0,0.0,-8.81,866.5,0.269033
2019-01-02 05:00:00,0.0,0.0,0.0,-10.04,866.69,0.273
2019-01-02 06:00:00,0.0,0.0,0.0,-9.84,866.47,0.272533
2019-01-02 07:00:00,0.0,0.0,0.0,-9.5,865.79,0.273467
2019-01-02 08:00:00,0.0,0.0,0.0,-10.32,865.75,0.269733
2019-01-02 09:00:00,0.0,0.0,0.0,-11.04,866.3,0.268333
2019-01-02 10:00:00,0.0,0.0,0.0,-10.91,866.89,0.4333
2019-01-02 11:00:00,128.33,92.59,77.4,-9.28,867.21,21.697433
2019-01-02 12:00:00,279.36,201.56,181.88,-6.88,866.73,53.070732
2019-01-02 13:00:00,333.01,240.27,216.96,-5.35,866.15,46.972565
2019-01-02 14:00:00,311.2,224.53,211.51,-4.15,865.83,52.601032
2019-01-02 15:00:00,364.29,262.83,250.07,-3.44,865.26,66.859566
2019-01-02 16:00:00,400.99,289.32,283.12,-2.59,864.73,72.82917
2019-01-02 17:00:00,294.38,212.4,195.79,-2.72,864.77,49.351864
2019-01-02 18:00:00,74.0,53.39,42.75,-2.81,865.47,9.583
2019-01-02 19:00:00,13.75,9.92,7.67,-3.28,866.15,0.9401
2019-01-02 20:00:00,0.0,0.0,0.0,-4.06,866.67,0.2695
2019-01-02 21:00:00,0.0,0.0,0.0,-4.6,867.04,0.271833
2019-01-02 22:00:00,0.0,0.0,0.0,-5.42,867.28,0.257133
2019-01-02 23:00:00,0.0,0.0,0.0,-5.32,867.26,0.2625
2019-01-03 00:00:00,0.0,0.0,0.0,-5.59,867.6,0.261333
2019-01-03 01:00:00,0.0,0.0,0.0,-5.73,867.7,0.262967
2019-01-03 02:00:00,0.0,0.0,0.0,-5.78,868.01,0.262033
2019-01-03 03:00:00,0.0,0.0,0.0,-5.79,868.37,0.264133
2019-01-03 04:00:00,0.0,0.0,0.0,-6.13,868.92,0.266933
2019-01-03 05:00:00,0.0,0.0,0.0,-6.84,869.27,0.265067
2019-01-03 06:00:00,0.0,0.0,0.0,-7.01,869.05,0.266933
2019-01-03 07:00:00,0.0,0.0,0.0,-7.23,868.9,0.264833
2019-01-03 08:00:00,0.0,0.0,0.0,-8.22,869.03,0.263667
2019-01-03 09:00:00,0.0,0.0,0.0,-9.37,869.67,0.264833
2019-01-03 10:00:00,0.0,0.0,0.0,-9.54,870.33,0.239633
2019-01-03 11:00:00,21.47,15.49,13.15,-8.22,870.89,5.153866
2019-01-03 12:00:00,238.11,171.8,165.22,-3.26,870.84,52.4664
2019-01-03 13:00:00,360.87,260.37,259.49,-3.18,870.42,74.506134
2019-01-03 14:00:00,430.69,310.75,311.27,-0.67,869.79,84.718666
2019-01-03 15:00:00,448.73,323.76,324.41,0.0,868.81,83.63507
2019-01-03 16:00:00,406.13,293.02,292.74,1.56,867.86,75.20776
2019-01-03 17:00:00,305.99,220.77,213.33,2.21,867.49,52.002766
2019-01-03 18:00:00,95.79,69.11,61.3,1.07,867.81,16.267767
2019-01-03 19:00:00,20.62,14.88,11.93,-0.42,868.47,1.872033
2019-01-03 20:00:00,0.0,0.0,0.0,-2.41,869.24,0.263433
2019-01-03 21:00:00,0.0,0.0,0.0,-4.17,869.89,0.2688
2019-01-03 22:00:00,0.0,0.0,0.0,-5.2,870.22,0.258533
2019-01-03 23:00:00,0.0,0.0,0.0,-6.72,870.59,0.262733
2019-01-04 00:00:00,0.0,0.0,0.0,-6.88,870.66,0.271133
2019-01-04 01:00:00,0.0,0.0,0.0,-8.52,870.59,0.271133
2019-01-04 02:00:00,0.0,0.0,0.0,-9.57,870.56,0.269967
2019-01-04 03:00:00,0.0,0.0,0.0,-9.96,870.63,0.277667
2019-01-04 04:00:00,0.0,0.0,0.0,-10.54,870.94,0.276733
2019-01-04 05:00:00,0.0,0.0,0.0,-10.46,871.6,0.281167
2019-01-04 06:00:00,0.0,0.0,0.0,-10.97,871.53,0.2751
2019-01-04 07:00:00,0.0,0.0,0.0,-11.03,871.18,0.273233
2019-01-04 08:00:00,0.0,0.0,0.0,-11.16,871.49,0.2765
2019-01-04 09:00:00,0.0,0.0,0.0,-11.41,871.01,0.269967
2019-01-04 10:00:00,0.0,0.0,0.0,-10.93,869.95,0.3542
2019-01-04 11:00:00,87.26,62.96,59.01,-9.4,869.36,13.085332
2019-01-04 12:00:00,240.79,173.73,166.38,-4.53,868.41,52.575832
2019-01-04 13:00:00,359.65,259.49,255.32,-4.05,866.96,74.6851
2019-01-04 14:00:00,438.81,316.6,316.32,-2.48,865.14,86.87209
2019-01-04 15:00:00,461.4,332.9,328.42,-2.76,864.03,88.53927
2019-01-04 16:00:00,338.96,244.56,226.33,-2.36,863.18,59.149303
2019-01-04 17:00:00,182.47,131.65,106.29,-2.71,862.86,21.196
2019-01-04 18:00:00,84.77,61.16,46.31,-3.67,862.72,11.108067
2019-01-04 19:00:00,27.31,19.7,15.0,-4.26,862.46,2.2855
2019-01-04 20:00:00,0.0,0.0,0.0,-5.63,863.02,0.273
2019-01-04 21:00:00,0.0,0.0,0.0,-6.41,863.47,0.276733
2019-01-04 22:00:00,0.0,0.0,0.0,-6.78,863.59,0.266933
2019-01-04 23:00:00,0.0,0.0,0.0,-6.86,863.59,0.266467
2019-01-05 00:00:00,0.0,0.0,0.0,-7.35,863.0,0.270433
2019-01-05 01:00:00,0.0,0.0,0.0,-8.14,862.79,0.271833
2019-01-05 02:00:00,0.0,0.0,0.0,-8.41,862.41,0.2709
2019-01-05 03:00:00,0.0,0.0,0.0,-9.43,862.3,0.273933
2019-01-05 04:00:00,0.0,0.0,0.0,-9.84,862.26,0.276267
2019-01-05 05:00:00,0.0,0.0,0.0,-9.59,862.75,0.277667
2019-01-05 06:00:00,0.0,0.0,0.0,-9.42,862.77,0.271367
2019-01-05 07:00:00,0.0,0.0,0.0,-10.4,862.83,0.271133
2019-01-05 08:00:00,0.0,0.0,0.0,-11.11,862.93,0.271367
2019-01-05 09:00:00,0.0,0.0,0.0,-10.45,863.47,0.269033
2019-01-05 10:00:00,0.0,0.0,0.0,-10.67,863.64,0.181067
2019-01-05 11:00:00,61.23,44.18,35.24,-8.22,863.53,10.636733
2019-01-05 12:00:00,180.43,130.18,109.34,-5.0,863.26,28.121565
2019-01-05 13:00:00,166.32,120.0,91.93,-4.16,862.65,27.273167
2019-01-05 14:00:00,161.93,116.83,90.89,-3.39,862.3,23.481499
2019-01-05 15:00:00,379.92,274.11,247.13,-2.06,861.86,61.681427
2019-01-05 16:00:00,328.09,236.72,205.34,-1.24,861.67,43.5764
2019-01-05 17:00:00,113.04,81.56,58.4,-2.13,862.36,12.3508
2019-01-05 18:00:00,41.95,30.27,21.5,-2.43,863.21,4.593634
2019-01-05 19:00:00,7.3,5.27,3.33,-2.65,864.04,0.4753
2019-01-05 20:00:00,0.0,0.0,0.0,-3.87,865.0,0.276967
2019-01-05 21:00:00,0.0,0.0,0.0,-4.19,865.84,0.2765
2019-01-05 22:00:00,0.0,0.0,0.0,-4.37,866.28,0.2653
2019-01-05 23:00:00,0.0,0.0,0.0,-4.6,866.64,0.266933
2019-01-06 00:00:00,0.0,0.0,0.0,-4.44,866.87,0.262733
2019-01-06 01:00:00,0.0,0.0,0.0,-4.78,867.1,0.266233
2019-01-06 02:00:00,0.0,0.0,0.0,-5.72,867.74,0.271133
2019-01-06 03:00:00,0.0,0.0,0.0,-5.96,868.38,0.2695
2019-01-06 04:00:00,0.0,0.0,0.0,-6.68,869.0,0.269267
2019-01-06 05:00:00,0.0,0.0,0.0,-6.98,869.22,0.272067
2019-01-06 06:00:00,0.0,0.0,0.0,-7.44,869.18,0.2716
2019-01-06 07:00:00,0.0,0.0,0.0,-7.37,868.8,0.269733
2019-01-06 08:00:00,0.0,0.0,0.0,-7.65,869.09,0.272067
2019-01-06 09:00:00,0.0,0.0,0.0,-8.45,869.86,0.2702
2019-01-06 10:00:00,0.0,0.0,0.0,-8.53,870.81,0.309167
2019-01-06 11:00:00,86.48,62.4,50.37,-7.1,871.24,12.6462
2019-01-06 12:00:00,144.09,103.96,81.49,-5.19,871.46,28.4235
2019-01-06 13:00:00,160.63,115.9,91.75,-4.6,871.55,22.060736
2019-01-06 14:00:00,125.13,90.28,71.32,-5.84,871.7,24.313332
2019-01-06 15:00:00,378.46,273.06,261.08,-3.76,871.33,82.339134
2019-01-06 16:00:00,396.97,286.41,290.24,-2.39,870.66,70.67223
2019-01-06 17:00:00,223.73,161.42,152.58,-1.87,870.64,31.80613
2019-01-06 18:00:00,95.27,68.73,51.92,-2.85,871.37,11.697699
2019-01-06 19:00:00,29.94,21.6,15.42,-3.18,871.99,3.072067
2019-01-06 20:00:00,0.0,0.0,0.0,-4.05,872.44,0.270667
2019-01-06 21:00:00,0.0,0.0,0.0,-5.43,873.2,0.274167
2019-01-06 22:00:00,0.0,0.0,0.0,-6.23,873.81,0.2618
2019-01-06 23:00:00,0.0,0.0,0.0,-6.95,874.24,0.2646
2019-01-07 00:00:00,0.0,0.0,0.0,-7.85,874.44,0.265767
2019-01-07 01:00:00,0.0,0.0,0.0,-7.97,874.61,0.273
2019-01-07 02:00:00,0.0,0.0,0.0,-8.44,874.8,0.2716
2019-01-07 03:00:00,0.0,0.0,0.0,-8.18,874.76,0.273933
2019-01-07 04:00:00,0.0,0.0,0.0,-9.52,874.65,0.274167
2019-01-07 05:00:00,0.0,0.0,0.0,-10.18,874.68,0.270667
2019-01-07 06:00:00,0.0,0.0,0.0,-10.43,874.79,0.2772
2019-01-07 07:00:00,0.0,0.0,0.0,-11.14,874.29,0.275567
2019-01-07 08:00:00,0.0,0.0,0.0,-11.38,874.24,0.273233
2019-01-07 09:00:00,0.0,0.0,0.0,-11.06,874.29,0.2688
2019-01-07 10:00:00,0.0,0.0,0.0,-11.53,874.13,0.4284
2019-01-07 11:00:00,75.69,54.61,49.45,-10.26,874.02,13.498799
2019-01-07 12:00:00,206.15,148.74,142.74,-5.4,873.18,44.3387
2019-01-07 13:00:00,322.82,232.91,233.52,-5.4,872.09,68.32024
2019-01-07 14:00:00,395.94,285.67,290.48,-4.62,871.02,81.10526
2019-01-07 15:00:00,409.81,295.68,300.78,-3.89,870.09,81.03083
2019-01-07 16:00:00,377.93,272.68,276.28,-3.0,869.13,72.376495
2019-01-07 17:00:00,290.79,209.81,206.74,-3.25,868.69,54.370636
2019-01-07 18:00:00,168.41,121.51,114.3,-3.11,868.43,24.777433
2019-01-07 19:00:00,40.72,29.38,25.19,-3.68,868.47,3.807534
2019-01-07 20:00:00,0.0,0.0,0.0,-5.0,868.73,0.271133
2019-01-07 21:00:00,0.0,0.0,0.0,-7.94,869.07,0.276967
2019-01-07 22:00:00,0.0,0.0,0.0,-8.51,869.58,0.265533
2019-01-07 23:00:00,0.0,0.0,0.0,-9.59,869.64,0.271133
2019-01-08 00:00:00,0.0,0.0,0.0,-9.38,869.21,0.272533
2019-01-08 01:00:00,0.0,0.0,0.0,-9.79,868.97,0.266233
2019-01-08 02:00:00,0.0,0.0,0.0,-10.36,868.9,0.276967
2019-01-08 03:00:00,0.0,0.0,0.0,-11.77,868.96,0.276267
