date,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Air temperature  (°C) ,Atmosphere (hpa),Relative humidity (%),Power (MW)
2019-01-01 00:00:00,0.0,0.0,0.0,11.9,837.2,53.06,0.0
2019-01-01 01:00:00,0.0,0.0,0.0,11.26,837.0933,59.933334,0.0
2019-01-01 02:00:00,0.0,0.0,0.0,10.026667,836.73334,65.18,0.0
2019-01-01 03:00:00,0.0,0.0,0.0,10.173333,837.0,68.10667,0.0
2019-01-01 04:00:00,0.0,0.0,0.0,9.606667,837.0133,72.10667,0.0
2019-01-01 05:00:00,0.0,0.0,0.0,9.853333,836.7267,71.253334,0.0
2019-01-01 06:00:00,0.0,0.0,0.0,9.033334,836.5333,74.82667,0.0
2019-01-01 07:00:00,0.0,0.0,0.0,8.18,837.1067,79.346664,0.0
2019-01-01 08:00:00,0.0,0.0,0.0,9.066667,837.99335,79.55334,0.0
2019-01-01 09:00:00,288.13333,7.6666665,100.6,10.3133335,838.6667,76.34,4.7973332
2019-01-01 10:00:00,598.0,423.2,143.46666,11.466666,838.84,70.80666,13.948667
2019-01-01 11:00:00,821.26666,875.93335,82.13333,12.393333,838.9067,66.18,21.062666
2019-01-01 12:00:00,985.4,908.2,102.46667,13.333333,838.11334,62.353333,25.204666
2019-01-01 13:00:00,1063.0667,912.26666,111.46667,15.146667,836.6,54.913334,27.352
2019-01-01 14:00:00,1108.0,926.0,111.8,16.706667,835.26666,44.553333,27.239334
2019-01-01 15:00:00,994.4,931.8,101.333336,18.066668,834.00665,37.773335,24.764668
2019-01-01 16:00:00,795.5333,876.26666,76.46667,18.086666,833.18665,39.36,20.086
2019-01-01 17:00:00,571.93335,17.133333,256.0,18.413334,833.02,39.213333,12.827333
2019-01-01 18:00:00,124.0,1.6666666,42.866665,17.633333,833.36664,40.22,1.896
2019-01-01 19:00:00,0.0,0.0,0.0,15.64,833.67334,45.56,0.0
2019-01-01 20:00:00,0.0,0.0,0.0,15.153334,834.14,38.866665,0.0
2019-01-01 21:00:00,0.0,0.0,0.0,15.04,834.64,38.8,0.0
2019-01-01 22:00:00,0.0,0.0,0.0,14.493333,835.32666,36.706665,0.0
2019-01-01 23:00:00,0.0,0.0,0.0,13.906667,835.72,38.02,0.0
2019-01-02 00:00:00,0.0,0.0,0.0,14.226666,836.0,40.606667,0.0
2019-01-02 01:00:00,0.0,0.0,0.0,13.1,836.4067,47.15333,0.0
2019-01-02 02:00:00,0.0,0.0,0.0,12.74,836.6067,50.733334,0.0
2019-01-02 03:00:00,0.0,0.0,0.0,11.986667,836.6067,54.833332,0.0
2019-01-02 04:00:00,0.0,0.0,0.0,10.773334,836.79333,60.06,0.0
2019-01-02 05:00:00,0.0,0.0,0.0,10.746667,836.9667,61.68667,0.0
2019-01-02 06:00:00,0.0,0.0,0.0,10.126667,837.05334,64.94,0.0
2019-01-02 07:00:00,0.0,0.0,0.0,9.733334,837.5267,67.486664,0.0
2019-01-02 08:00:00,0.0,0.0,0.0,9.32,838.19336,70.85333,0.0
2019-01-02 09:00:00,286.93332,6.8,99.73333,10.413333,839.26666,68.92,4.699333
2019-01-02 10:00:00,604.2,425.2,144.53334,11.7,839.49335,64.85333,13.999333
2019-01-02 11:00:00,820.06665,875.26666,81.933334,12.12,839.58,65.84,20.876667
2019-01-02 12:00:00,983.73334,906.6,102.333336,13.733334,838.9267,59.666668,25.194666
2019-01-02 13:00:00,1063.2,912.8,111.73333,15.533334,837.67334,50.546665,27.212667
2019-01-02 14:00:00,1113.4,930.4,112.4,16.893333,836.16,40.626667,27.28
2019-01-02 15:00:00,994.06665,932.26666,101.666664,17.653334,835.0867,34.58,24.901333
2019-01-02 16:00:00,812.2,895.73334,78.53333,18.306667,834.5333,34.02,20.493334
2019-01-02 17:00:00,603.73334,12.866667,271.4,18.653334,834.3333,33.073334,13.610666
2019-01-02 18:00:00,244.73334,0.0,74.2,18.953333,834.4,30.24,4.5026665
2019-01-02 19:00:00,0.0,0.0,0.0,15.06,834.79333,40.406666,0.0
2019-01-02 20:00:00,0.0,0.0,0.0,14.3,835.36,41.273335,0.0
2019-01-02 21:00:00,0.0,0.0,0.0,14.513333,835.8933,42.753334,0.0
2019-01-02 22:00:00,0.0,0.0,0.0,13.893333,835.74664,45.873333,0.0
2019-01-02 23:00:00,0.0,0.0,0.0,13.966666,835.7267,47.093334,0.0
2019-01-03 00:00:00,0.0,0.0,0.0,13.473333,836.02,50.726665,0.0
2019-01-03 01:00:00,0.0,0.0,0.0,13.226666,836.13336,53.826668,0.0
2019-01-03 02:00:00,0.0,0.0,0.0,12.633333,836.22,58.913334,0.0
2019-01-03 03:00:00,0.0,0.0,0.0,12.146667,836.32666,64.26,0.0
2019-01-03 04:00:00,0.0,0.0,0.0,11.566667,835.98,66.94,0.0
2019-01-03 05:00:00,0.0,0.0,0.0,11.546667,835.7,66.44666,0.0
2019-01-03 06:00:00,0.0,0.0,0.0,10.866667,835.7267,71.07333,0.0
2019-01-03 07:00:00,0.0,0.0,0.0,10.56,835.96,73.30666,0.0
2019-01-03 08:00:00,0.0,0.0,0.0,9.393333,836.4133,79.86667,0.0
2019-01-03 09:00:00,292.86667,7.733333,100.86667,10.606667,836.82666,77.14,4.772
2019-01-03 10:00:00,617.2,527.6667,113.26667,11.753333,837.0,72.44666,14.216
2019-01-03 11:00:00,828.4667,885.93335,82.933334,12.973333,837.1,67.613335,21.115334
2019-01-03 12:00:00,1003.2,924.73334,104.53333,15.0,836.35333,58.866665,25.492
2019-01-03 13:00:00,1083.3,941.4,115.1,16.93,835.02,40.65,27.904
2019-01-03 14:00:00,1103.4,924.5333,112.0,17.553333,833.76,36.626667,27.338
2019-01-03 15:00:00,891.6,808.6,107.73333,18.466667,832.5867,37.68,22.262667
2019-01-03 16:00:00,637.8,702.26666,106.8,18.173334,831.75336,38.853333,15.902667
2019-01-03 17:00:00,592.73334,65.8,257.33334,19.46,831.3333,33.613335,13.368
2019-01-03 18:00:00,247.2,6.6,81.4,18.806667,831.6667,32.4,4.6393332
2019-01-03 19:00:00,0.0,0.0,0.0,17.153334,831.74664,29.593334,0.0
2019-01-03 20:00:00,0.0,0.0,0.0,16.68,832.48,28.833334,0.0
2019-01-03 21:00:00,0.0,0.0,0.0,15.946667,833.0467,30.186666,0.0
2019-01-03 22:00:00,0.0,0.0,0.0,15.393333,833.48,31.986666,0.0
2019-01-03 23:00:00,0.0,0.0,0.0,14.526667,833.5933,39.986668,0.0
2019-01-04 00:00:00,0.0,0.0,0.0,14.02,834.0933,43.206665,0.0
2019-01-04 01:00:00,0.0,0.0,0.0,13.613334,834.49335,45.166668,0.0
2019-01-04 02:00:00,0.0,0.0,0.0,12.946667,835.0,47.8,0.0
2019-01-04 03:00:00,0.0,0.0,0.0,12.64,835.25336,47.34667,0.0
2019-01-04 04:00:00,0.0,0.0,0.0,11.846666,835.43335,51.553333,0.0
2019-01-04 05:00:00,0.0,0.0,0.0,11.706667,835.34,51.58,0.0
2019-01-04 06:00:00,0.0,0.0,0.0,11.513333,835.2,49.993332,0.0
2019-01-04 07:00:00,0.0,0.0,0.0,11.12,835.36664,52.126667,0.0
